TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,JORNADA_LABORAL_TIPO#es,JORNADA_LABORAL_TIPO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#es
Arrecife,35004,Hombres,M,Tiempo completo,FT,2019 Tercer trimestre,2019-Q3,10545,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2019 Tercer trimestre,2019-Q3,8284,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2019 Cuarto trimestre,2019-Q4,10500,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2019 Cuarto trimestre,2019-Q4,8323,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2020 Primer trimestre,2020-Q1,9553,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2020 Primer trimestre,2020-Q1,7606,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2020 Segundo trimestre,2020-Q2,9593,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2020 Segundo trimestre,2020-Q2,7448,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2020 Tercer trimestre,2020-Q3,9519,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2020 Tercer trimestre,2020-Q3,7448,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2020 Cuarto trimestre,2020-Q4,9159,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2020 Cuarto trimestre,2020-Q4,7333,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2021 Primer trimestre,2021-Q1,9042,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2021 Primer trimestre,2021-Q1,7126,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2021 Segundo trimestre,2021-Q2,9064,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2021 Segundo trimestre,2021-Q2,7099,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2021 Tercer trimestre,2021-Q3,9820,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2021 Tercer trimestre,2021-Q3,7584,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2021 Cuarto trimestre,2021-Q4,10087,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2021 Cuarto trimestre,2021-Q4,8031,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2022 Primer trimestre,2022-Q1,10922,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2022 Primer trimestre,2022-Q1,8585,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2022 Segundo trimestre,2022-Q2,11474,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2022 Segundo trimestre,2022-Q2,9027,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2022 Tercer trimestre,2022-Q3,11739,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2022 Tercer trimestre,2022-Q3,9393,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2022 Cuarto trimestre,2022-Q4,11793,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2022 Cuarto trimestre,2022-Q4,9605,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2023 Primer trimestre,2023-Q1,11966,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2023 Primer trimestre,2023-Q1,9573,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2023 Segundo trimestre,2023-Q2,12307,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2023 Segundo trimestre,2023-Q2,9943,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2023 Tercer trimestre,2023-Q3,12563,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2023 Tercer trimestre,2023-Q3,10294,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2023 Cuarto trimestre,2023-Q4,12603,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2023 Cuarto trimestre,2023-Q4,10384,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2011 Segundo trimestre,2011-Q2,1269,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2011 Segundo trimestre,2011-Q2,1917,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2011 Tercer trimestre,2011-Q3,1315,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2011 Tercer trimestre,2011-Q3,2042,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2011 Cuarto trimestre,2011-Q4,1248,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2011 Cuarto trimestre,2011-Q4,1950,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2012 Primer trimestre,2012-Q1,1254,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2012 Primer trimestre,2012-Q1,2059,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2012 Segundo trimestre,2012-Q2,1270,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2012 Segundo trimestre,2012-Q2,1985,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2012 Tercer trimestre,2012-Q3,1363,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2012 Tercer trimestre,2012-Q3,2205,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2012 Cuarto trimestre,2012-Q4,1445,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2012 Cuarto trimestre,2012-Q4,2243,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2013 Primer trimestre,2013-Q1,1514,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2013 Primer trimestre,2013-Q1,2296,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2013 Segundo trimestre,2013-Q2,1438,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2013 Segundo trimestre,2013-Q2,2114,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2013 Tercer trimestre,2013-Q3,1450,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2013 Tercer trimestre,2013-Q3,2255,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2013 Cuarto trimestre,2013-Q4,1536,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2013 Cuarto trimestre,2013-Q4,2343,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2014 Primer trimestre,2014-Q1,1569,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2014 Primer trimestre,2014-Q1,2397,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2014 Segundo trimestre,2014-Q2,1461,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2014 Segundo trimestre,2014-Q2,2199,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2014 Tercer trimestre,2014-Q3,1524,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2014 Tercer trimestre,2014-Q3,2401,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2014 Cuarto trimestre,2014-Q4,1667,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2014 Cuarto trimestre,2014-Q4,2403,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2015 Primer trimestre,2015-Q1,1668,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2015 Primer trimestre,2015-Q1,2445,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2015 Segundo trimestre,2015-Q2,1574,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2015 Segundo trimestre,2015-Q2,2308,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2015 Tercer trimestre,2015-Q3,1647,,,
Arrecife,35004,Mujeres,F,Tiempo parcial,PT,2015 Tercer trimestre,2015-Q3,2572,,,
Arrecife,35004,Hombres,M,Tiempo parcial,PT,2015 Cuarto trimestre,2015-Q4,1610,,,
